Symbol,전체 기간,Digit Type,Mean,Std Dev
KRW-BTC,2023-01-02-00:00 ~ 2023-12-31-00:00,First,0.0113941123917872,0.0046294373138189
KRW-BTC,2023-01-02-00:00 ~ 2023-12-31-00:00,Second,0.0062025929160001,0.001495547927583
KRW-ETH,2023-01-02-00:00 ~ 2023-12-31-00:00,First,0.0072133483657781,0.0021588091827281
KRW-ETH,2023-01-02-00:00 ~ 2023-12-31-00:00,Second,0.0077462653882118,0.0028971776896212
KRW-SOL,2023-01-02-00:00 ~ 2023-12-31-00:00,First,0.0076708680757564,0.0025267348667519
KRW-SOL,2023-01-02-00:00 ~ 2023-12-31-00:00,Second,0.0077653820090996,0.0028956574989751
KRW-AVAX,2023-01-02-00:00 ~ 2023-12-31-00:00,First,0.0122434775877879,0.0057515066925858
KRW-AVAX,2023-01-02-00:00 ~ 2023-12-31-00:00,Second,0.0177054287581585,0.0094601216075566
KRW-SEI,2023-08-18-00:00 ~ 2023-12-31-00:00,First,0.0086636339768795,0.003465775877495
KRW-SEI,2023-08-18-00:00 ~ 2023-12-31-00:00,Second,0.010465262618077,0.0059838740625193
KRW-XRP,2023-01-02-00:00 ~ 2023-12-31-00:00,First,0.007024610619975,0.0024234067525255
KRW-XRP,2023-01-02-00:00 ~ 2023-12-31-00:00,Second,0.0060622259812582,0.0015562836293408
KRW-LINK,2023-01-02-00:00 ~ 2023-12-31-00:00,First,0.0113646840383479,0.0052362732784482
KRW-LINK,2023-01-02-00:00 ~ 2023-12-31-00:00,Second,0.0153448271956558,0.0069544951386534
KRW-ADA,2023-01-02-00:00 ~ 2023-12-31-00:00,First,0.0099919752109779,0.003774090102824
KRW-ADA,2023-01-02-00:00 ~ 2023-12-31-00:00,Second,0.0154602560895311,0.0083402792463041
KRW-ARB,2023-04-01-00:00 ~ 2023-12-31-00:00,First,0.0125490996541358,0.0069465781980293
KRW-ARB,2023-04-01-00:00 ~ 2023-12-31-00:00,Second,0.0191967900766279,0.0099107143767212
KRW-DOT,2023-01-02-00:00 ~ 2023-12-31-00:00,First,0.0133284854570949,0.0062598465421648
KRW-DOT,2023-01-02-00:00 ~ 2023-12-31-00:00,Second,0.0193207886766072,0.0080778450719548
KRW-AAVE,2023-01-02-00:00 ~ 2023-12-31-00:00,First,0.0155821194816166,0.0070584567120862
KRW-AAVE,2023-01-02-00:00 ~ 2023-12-31-00:00,Second,0.0213263033587811,0.0084075073618355
KRW-BCH,2023-01-02-00:00 ~ 2023-12-31-00:00,First,0.0095426654934623,0.0037412898410498
KRW-BCH,2023-01-02-00:00 ~ 2023-12-31-00:00,Second,0.0129830276574132,0.0068630517711861
