Symbol,전체 기간,Digit Type,Mean,Std Dev
BTCUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,First,0.0201710098098192,0.0139247551436772
BTCUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,Second,0.0068454023493933,0.001818108323447
ETHUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,First,0.0134186635989883,0.0065248747883889
ETHUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,Second,0.0064986589987927,0.0016244766147795
SOLUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,First,0.0100633652636754,0.0055497425313699
SOLUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,Second,0.0064129472172482,0.0015439701630673
AVAXUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,First,0.0099662462267923,0.0038711466537393
AVAXUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,Second,0.0066966303885692,0.0018066437306514
SEIUSDT,2023-08-15-00:00 ~ 2024-01-01-00:00,First,0.0089514914685912,0.0040983516929745
SEIUSDT,2023-08-15-00:00 ~ 2024-01-01-00:00,Second,0.0071238003762859,0.0024969523310512
XRPUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,First,0.0188294052234519,0.0092204390197352
XRPUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,Second,0.0067031345538944,0.0016741398274725
LINKUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,First,0.0094711989902816,0.0051345416033527
LINKUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,Second,0.0063161862553772,0.001559161621292
ADAUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,First,0.0091694207723492,0.0041408584480634
ADAUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,Second,0.0064421861012567,0.0016517229595452
ARBUSDT,2023-03-23-00:00 ~ 2024-01-01-00:00,First,0.0099002366507926,0.0095612166075105
ARBUSDT,2023-03-23-00:00 ~ 2024-01-01-00:00,Second,0.0071318463756097,0.0105938946220243
DOTUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,First,0.0086838277541688,0.003613966283937
DOTUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,Second,0.0062850204589618,0.0016703634766868
AAVEUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,First,0.0094977577097874,0.0061830911902146
AAVEUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,Second,0.0087000698406693,0.0043449054449861
BCHUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,First,0.008709972737528,0.0035031377786471
BCHUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,Second,0.0081608768257813,0.0039214325637438
NEARUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,First,0.0103531700660133,0.0049523668425886
NEARUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,Second,0.0072376136011637,0.0023061645906071
MINAUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,First,0.0094216620840791,0.0045737034705409
MINAUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,Second,0.0102022648284192,0.004858574999207
DOGEUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,First,0.010762592388231,0.0053058988361598
DOGEUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,Second,0.0063603543415193,0.0016706502495673
STXUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,First,0.0091954274643204,0.0049794848180268
STXUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,Second,0.0082205224641133,0.0044468118716165
XLMUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,First,0.0080408730021107,0.0027373029474456
XLMUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,Second,0.0069895560266204,0.0019780889323312
IMXUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,First,0.0103298234114929,0.0056406073148873
IMXUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,Second,0.008994939416859,0.0039903442426403
GRTUSDT,2023-01-01-00:00 ~ 2024-01-01-00:00,First,0.0087814693970066,0.0037942456327717
