coin,price,market_cap
BTC,16531.31,456998456.42
ETH,1195.0,266114942.31
SOL,9.952,39797226.05
DOGE,0.07013,31965867.18
ADA,0.2456,21727568.23
ATOM,9.337,13125539.24
LINK,5.567,12434370.18
XRP,0.3389,10165344.0
DOT,4.3,6728403.97
SHIB,8.06e-06,6646827.45
ALGO,0.1723,6452476.72
HBAR,0.03648,5256233.43
AAVE,51.85,5029492.41
AVAX,10.89,4849222.81
XLM,0.07095,3322747.48
BCH,97.0,2530414.18
ETC,15.67,1493807.59
EOS,0.8608,1487056.78
XTZ,0.7151,1169037.18
TRX,0.05449,1070332.03
MANA,0.2967,1013791.26
NEAR,1.252,737467.21
ENS,10.73,620805.42
1INCH,0.3815,608173.58
ANKR,0.01529,598003.77
GRT,0.0553,566234.66
IMX,0.3825,515454.57
CHZ,0.1001,488331.95
SAND,0.3821,477515.37
ZRX,0.1477,439270.79
APT,3.451,431410.81
FLOW,0.6531,423170.84
CVC,0.07481,357824.53
BAT,0.1661,343586.19
STPT,0.02579,338145.02
KNC,0.4555,335260.0
CELO,0.473,333553.57
IOST,0.006778,323902.64
VET,0.0158,285730.1
KAVA,0.5728,279819.57
MINA,0.4332,262424.48
STX,0.2085,212421.53
AXS,6.032,206486.31
MASK,2.08,197210.84
NEO,6.139,195069.21
STORJ,0.2459,166493.94
STEEM,0.1463,164464.77
SXP,0.2005,163549.89
THETA,0.718,137790.03
QTUM,1.838,101054.63
ZIL,0.0159,82631.19
GMT,0.2298,78044.84
LSK,0.7174,57175.12
SC,0.00225,29411.08
ELF,0.1567,28625.42
JST,0.01987,28603.7
T,0.0163,25049.94
POLYX,0.1146,13175.72
ONT,0.1496,8706.95
PUNDIX,0.3132,8212.0
ASTR,0.0383,7161.44
POWR,0.1224,5501.77
STRAX,0.3854,4899.13
TFUEL,0.0314,2757.04
XEC,2.163e-05,1264.41
HIVE,0.2522,1130.54
