coin,price,market_cap
BTC,46197.31,1636014399.31
ETH,3675.79,1110593109.24
SOL,169.93,349004476.06
DOT,26.64,103743116.39
SHIB,3.331e-05,100226298.09
LINK,19.51,91761869.05
ALGO,1.659,73309275.26
ADA,1.309,54557985.25
MANA,3.268,50525710.89
XRP,0.8292,48172556.8
AAVE,254.01,41980518.83
XLM,0.2665,35515083.0
DOGE,0.1703,35221443.8
ATOM,32.47,34426572.39
SXP,2.027,29099484.7
XTZ,4.342,25382067.52
NEAR,14.61,20640439.22
BCH,430.54,19432767.9
EOS,3.032,15469814.75
GRT,0.6423,15377166.49
TRX,0.07539,14123142.71
BAT,1.205,12947689.41
AXS,93.25,10534786.81
VET,0.0827,10251908.59
ANKR,0.1002,8030459.38
1INCH,2.39,7987984.66
IOST,0.03095,7904992.58
SAND,5.835,7900049.11
ETC,34.08,6501883.47
QTUM,8.723,5454318.89
HBAR,0.2901,5413261.08
ZRX,0.8034,5191409.96
ENS,38.97,4835890.65
CHZ,0.2833,4754945.06
STORJ,1.74,4307694.61
CELO,4.87,4281255.62
NEO,25.67,4043664.75
TFUEL,0.1913,2356054.67
KAVA,3.949,1834599.66
ZIL,0.07461,1649940.41
STX,2.17,1471535.94
KNC,1.282,1440567.68
FLOW,8.815,1433739.23
CVC,0.3279,1371921.38
GAS,5.728,1131147.57
THETA,4.701,1124395.17
SC,0.01518,888425.38
MASK,12.22,847045.55
LSK,2.269,710888.98
HIVE,1.488,545682.93
MINA,3.54,508952.06
STPT,0.1016,405799.89
GLM,0.4525,378076.9
ARK,1.156,296881.97
JST,0.05385,159222.56
ELF,0.3735,157416.22
ONT,0.6581,109304.33
STRAX,1.395,101368.91
STEEM,0.4253,88539.82
POWR,0.4143,79709.06
PUNDIX,1.018,39130.73
SNT,0.06839,14602.1
IQ,0.01202,1086.99
XEC,0.000107,766.02
ID,0.2,328.9
BLUR,0.2286,0.0
SUI,1.754,0.0
IMX,1.339,0.0
ASTR,0.002012,0.0
GMT,0.131,0.0
APT,9.194,0.0
ARB,0.5193,0.0
POLYX,0.2308,0.0
SEI,0.3742,0.0
ZRO,3.401,0.0
T,0.02245,0.0
