Symbol,전체 기간,Type,Mean,Std
BTCUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0135090196555566,0.0055065130118916
BTCUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0063918314451712,0.0016297791251902
ETHUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0154326432069048,0.0060340222257742
ETHUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0062270983937007,0.0016986957776471
XRPUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0126734405764674,0.0076728645621193
XRPUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0065266399641028,0.0015409689100622
DOGEUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0110508446573901,0.0061915730813387
DOGEUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0065486232153433,0.0017572857092131
SOLUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0158692861387302,0.0074686016189125
SOLUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0065238067363277,0.0016989540481962
ADAUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0094374743411186,0.0050430051253365
ADAUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0064258631291263,0.0016687933425936
TRXUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0125357251734981,0.0047298710717464
TRXUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0061395948073468,0.0014549338323716
LINKUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0112965171270823,0.0047063385436706
LINKUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0063528344493372,0.0015090120419242
SUIUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0116796682195537,0.0055803122158894
SUIUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0064332583653755,0.0016789459445443
XLMUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0093954455776648,0.004091156138709
XLMUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0070191089318333,0.0019541612686259
SHIBUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0094389228521689,0.0041461664430137
SHIBUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0062265825028476,0.0017194911792489
HBARUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0173554165410514,0.0100838410321736
HBARUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0091425955996448,0.0048004352635544
DOTUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0078336041523129,0.0034163237641253
DOTUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.006360582968323,0.0013678366130909
BCHUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0079946692210387,0.0028312563398193
BCHUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0066049419517134,0.0015375866554378
NEARUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0091639377648707,0.0036663232898523
NEARUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.00630156084879,0.0015552482183571
APTUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0083846927300489,0.0031265715580153
APTUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0069493306813203,0.0019577408987671
AAVEUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0078556704017854,0.0043568779516475
AAVEUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0062478758280082,0.001580258079963
VETUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.009155094213354,0.0047568494032296
VETUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0068222367476231,0.0018761933951945
ETCUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.007725327906243,0.0023705759002856
ETCUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0067013120219969,0.0017468014583605
ALGOUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0090602767859338,0.0032600705544767
ALGOUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0064307486117752,0.001631001187983
ARBUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.009128380241611,0.0039091811918626
ARBUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0063051142051415,0.0016733702800471
ATOMUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0081019836415771,0.0031791713994044
ATOMUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0062112868965436,0.0016695466167313
STXUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0078315724447651,0.003563150467454
STXUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,second,0.0063754720039435,0.0016790519639434
THETAUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,first,0.0076140126978607,0.0024368651779875
