Symbol,전체 기간,Type,Mean,Std
KRW-BTC,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0085436037634803,0.0032386425805276
KRW-BTC,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0060799782706358,0.0015124235652083
KRW-ETH,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0074270865847933,0.0029875512899166
KRW-ETH,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0062679534834372,0.0015209363565388
KRW-XRP,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0100418763797093,0.0037129494796479
KRW-XRP,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0057803148149384,0.0014445714000014
KRW-DOGE,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0083686868298466,0.0036060956750046
KRW-DOGE,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0064119023312046,0.001741065267682
KRW-SOL,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0073184191021318,0.0024701696150197
KRW-SOL,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0059257806800526,0.001458128680012
KRW-ADA,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0089063197143289,0.0029222119202426
KRW-ADA,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.011626381365695,0.0050019993811489
KRW-TRX,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0075602310872312,0.0023131013798292
KRW-TRX,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0091465927630772,0.0033763503030661
KRW-LINK,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.010200728867234,0.0032599581463517
KRW-LINK,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0149152580604829,0.0073912440722505
KRW-SUI,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0092418132780146,0.0049089664266087
KRW-SUI,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0096267937838465,0.0072310180527961
KRW-XLM,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0115975235730527,0.0046216269418956
KRW-XLM,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0161867361126677,0.0084372062952762
KRW-SHIB,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0082171458623549,0.0033084377670727
KRW-SHIB,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0064408219858202,0.0018283716358823
KRW-HBAR,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0125416210436507,0.0048625168112907
KRW-HBAR,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.017616071444754,0.0089504487856302
KRW-DOT,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0131321401362413,0.0062428639533316
KRW-DOT,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0189041609948506,0.0091432703391626
KRW-BCH,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0090916336142037,0.0032573638276616
KRW-BCH,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0112064704878894,0.0050959598350024
KRW-NEAR,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0074016729073053,0.0019706024608046
KRW-NEAR,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0077682708804819,0.0027244060631443
KRW-APT,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0111114063069461,0.0063719879507183
KRW-APT,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0148257137612962,0.0088974085472488
KRW-AAVE,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0101016756584065,0.0046231678920684
KRW-AAVE,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0144543421181067,0.0077495339244722
KRW-VET,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0122128569319236,0.0049373023709597
KRW-VET,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.019210433529048,0.0088042825790844
KRW-ETC,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.007830636925712,0.002601089259956
KRW-ETC,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0096683897737865,0.0046201881837743
KRW-ALGO,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.013864159179685,0.0051408870193419
KRW-ALGO,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0219598048087587,0.0104751626056528
KRW-ARB,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0096293264918206,0.0032536484543742
KRW-ARB,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0143749969790436,0.0067805316004329
KRW-ATOM,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0132884673902358,0.0048473440414672
KRW-ATOM,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0194494786650256,0.0077261434970093
KRW-STX,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0069291454776568,0.0022180136205201
KRW-STX,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0063118529319647,0.0019125800817157
KRW-THETA,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0191871488755499,0.0133122247327872
KRW-THETA,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0232578626313728,0.0090743528048655
KRW-IMX,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.012051466285392,0.0042386541376799
KRW-IMX,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0194507813026392,0.0077699898075571
KRW-GRT,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0114309216281578,0.0044934994710393
KRW-GRT,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0179559241576113,0.0077249878838565
KRW-SEI,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0073342114899547,0.0022216542785278
KRW-SEI,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0071447065500468,0.0022385324360062
KRW-SAND,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0107468635238386,0.0038644872269237
KRW-SAND,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0159891764992066,0.0072390971754813
KRW-EOS,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.011575487284189,0.0044916857512099
KRW-EOS,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0175238200413718,0.0078342415133756
KRW-XTZ,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0215739754666612,0.0127941233662329
KRW-XTZ,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0263208839878015,0.0099927190946825
KRW-IOTA,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0158264181731795,0.006609815979584
KRW-IOTA,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0236925435113935,0.0104539924594161
KRW-FLOW,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0100898004791809,0.0032821995893272
KRW-FLOW,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0164087849018979,0.0069178234943487
KRW-ENS,2024-07-11-00:00 ~ 2024-12-31-00:00,first,0.0095129803578727,0.0034373396994763
KRW-ENS,2024-07-11-00:00 ~ 2024-12-31-00:00,second,0.0114488282709685,0.0054921463360091
KRW-NEO,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0125113550587843,0.0053117355174024
KRW-NEO,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.01873132291827,0.0084734252308656
KRW-MANA,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0152058203432707,0.0053955816851724
KRW-MANA,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0244729348601251,0.0100999045095646
KRW-AXS,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0110854047990947,0.0038769810937449
KRW-AXS,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0165687287397804,0.0063323361276317
KRW-CHZ,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0107288828734952,0.0040876809898071
KRW-CHZ,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0161231341164098,0.0072193170127826
KRW-XEC,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0101851083789885,0.0037713823301113
KRW-XEC,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0140295985919324,0.0063492682395094
KRW-MINA,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0128061497546819,0.004452672325839
KRW-MINA,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0196904263126533,0.0078006629874815
KRW-KAVA,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0156456406003658,0.0064695149355186
KRW-KAVA,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0215188735899651,0.0078710632898957
KRW-1INCH,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.015046142493357,0.0061816028059251
KRW-1INCH,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0229295371801495,0.0093820486176134
KRW-ZRO,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0082302411772947,0.0029013643501983
KRW-ZRO,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.010120001392851,0.0044627291926435
KRW-BLUR,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0081708721627553,0.0024678667083036
KRW-BLUR,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.010110612756521,0.003892435580239
KRW-TFUEL,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0125235341735618,0.0042109982342239
KRW-TFUEL,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0190756702759409,0.0070036341765768
KRW-ASTR,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0122546095663217,0.0042200955117016
KRW-ASTR,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0188383425511003,0.0069137957234568
KRW-ZIL,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0158699001391079,0.0058832483905301
KRW-ZIL,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0255077859159416,0.0090452228559024
KRW-ZRX,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0135739377077065,0.0051437903799421
KRW-ZRX,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0200090806721293,0.008510074135526
KRW-JST,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0161677888829859,0.0059243664660519
KRW-JST,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0257702489596911,0.0091885260667683
KRW-GLM,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0124015427912996,0.0054935273970269
KRW-GLM,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.01786909736724,0.0082125894341156
KRW-ID,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0124946221580349,0.0054623018895402
KRW-ID,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0175323861316265,0.0090811423994989
KRW-BAT,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0183085913762916,0.0064797849188206
KRW-BAT,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0269450591728804,0.0084798556943878
KRW-CELO,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.015138796945325,0.0071058765952487
KRW-CELO,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0218497245603382,0.0109947620611379
KRW-ANKR,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0151530970958662,0.005324903368409
KRW-ANKR,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0229638222861773,0.0077865357247007
KRW-QTUM,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0136098276847917,0.0049008515618278
KRW-QTUM,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0202170210927377,0.0081607796155286
KRW-SC,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0110175845491327,0.0034978198703397
KRW-SC,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0167964923019425,0.0065325778412399
KRW-GAS,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0109177260070306,0.00427302775425
KRW-GAS,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0146301247989696,0.0070997737575983
KRW-GMT,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0125395655587117,0.0052720840947111
KRW-GMT,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0193137478593866,0.0082220694758255
KRW-ELF,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0152423755963623,0.0062306743210916
KRW-ELF,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0220178812948987,0.0094068648832705
KRW-T,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0116185441976299,0.0041337485614831
KRW-T,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0174992240304481,0.0067814346451188
KRW-MASK,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.014795590412387,0.0071896694051945
KRW-MASK,2024-07-02-00:00 ~ 2024-12-31-00:00,second,0.0184629128837339,0.0088261105337955
KRW-POLYX,2024-07-02-00:00 ~ 2024-12-31-00:00,first,0.0090006266647081,0.0030956851726881
