Symbol,Digit Type,Mean,Std Dev
BTC,First,0.0043455958638539,0.0033606597731554
BTC,Second,0.000955121380286,0.0007293250100267
ETH,First,0.0070029804088619,0.0042192987959857
ETH,Second,0.001200872403866,0.0009091808711031
XRP,First,0.0045293252801859,0.0047510474180708
XRP,Second,0.0009962028056271,0.000777407859781
DOGE,First,0.0034487740668451,0.0036171596158641
DOGE,Second,0.0012549129895966,0.0010673151617941
SOL,First,0.0078218780724731,0.0056169684327728
SOL,Second,0.0011798703273954,0.0008724945796864
ADA,First,0.0038488627877341,0.0033080160809303
ADA,Second,0.0069831097199274,0.0044733282292681
TRX,First,0.0057017886915802,0.003829517992264
TRX,Second,0.0041803204066897,0.0028895523832416
LINK,First,0.0038826466393432,0.0034540003897988
LINK,Second,0.010306814805333,0.0069774168944746
SUI,First,0.0054128315441552,0.0041965890207229
SUI,Second,0.0011108842671532,0.0012084726860705
XLM,First,0.0050462440419558,0.0042799295478893
XLM,Second,0.0110580608706549,0.0077075645727958
SHIB,First,0.002598204674425,0.002238064141949
SHIB,Second,0.0012255719228356,0.0011111385134431
HBAR,First,0.0064231264856744,0.0060326596229709
HBAR,Second,0.0125996961800016,0.0066257647878923
DOT,First,0.0089638464560031,0.0053691475626732
DOT,Second,0.0164666690850652,0.0078290248996619
BCH,First,0.0034801038199366,0.0027410896723091
BCH,Second,0.0064392316619099,0.0043838243210646
NEAR,First,0.0020262874069571,0.001671558809873
NEAR,Second,0.0029822663920356,0.0024104512846303
APT,First,0.0051806363258618,0.0050112136325745
APT,Second,0.0088593395340117,0.0078303568775795
AAVE,First,0.004564973105035,0.0038395885898505
AAVE,Second,0.009422637459987,0.0071209031267318
VET,First,0.0071046578220551,0.0035516404553368
VET,Second,0.0164932754103386,0.0064119464851759
ETC,First,0.0018576415051461,0.001547763327283
ETC,Second,0.004426699477803,0.0036870538619378
ALGO,First,0.0065270358847469,0.0039736726469824
ALGO,Second,0.017218847132807,0.0098894798721291
ARB,First,0.0037723544735989,0.0024763120741305
ARB,Second,0.0091731539760818,0.0065826322312383
ATOM,First,0.0083807467804652,0.0035142266815711
