Symbol,전체 기간,Digit Type,Mean,Std Dev
KRW-GRT,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0166979453662749,0.0074634598510772
KRW-SEI,2024-09-29-00:00 ~ 2024-12-29-00:00,First,0.0051078943650183,0.001541653025215
KRW-SEI,2024-09-29-00:00 ~ 2024-12-29-00:00,Second,0.0046086737789172,0.0015005102172123
KRW-SAND,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0087491247765083,0.0033877196067699
KRW-SAND,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0146396211654179,0.0071997523400864
KRW-EOS,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0095974485390241,0.0040653589621823
KRW-EOS,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.015990609229575,0.007727789995111
KRW-XTZ,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0191211310124879,0.0118826777346258
KRW-XTZ,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0245641544925738,0.0098078487934007
KRW-IOTA,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.014133190640812,0.0059934162812283
KRW-IOTA,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0227289987835173,0.0100402610601069
KRW-FLOW,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0082243488829312,0.0025165056070707
KRW-FLOW,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0152133683092173,0.0064136595485506
KRW-ENS,2024-07-13-00:00 ~ 2024-12-29-00:00,First,0.0072084799681614,0.0030462857842766
KRW-ENS,2024-07-13-00:00 ~ 2024-12-29-00:00,Second,0.0096621265663613,0.0053765392856897
KRW-NEO,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0107683869666061,0.0044889884764739
KRW-NEO,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0172742745610915,0.0080932034484456
KRW-MANA,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0132595545540614,0.0051550759998352
KRW-MANA,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0235400751410576,0.0101232744712576
KRW-AXS,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0088114697906262,0.0031604132460921
KRW-AXS,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0151154454270065,0.0061549084684327
KRW-CHZ,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0089460066667597,0.0036891872527846
KRW-CHZ,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0146429193742207,0.0071185713291797
KRW-XEC,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.008055969006305,0.0030795723079088
KRW-XEC,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0123183959376789,0.0056593740263208
KRW-MINA,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0108617394371523,0.0035850550971722
KRW-MINA,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0181203806926584,0.006990555303492
KRW-KAVA,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0134866821026357,0.0057169694714725
KRW-KAVA,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0198044669289303,0.0070123872169154
KRW-1INCH,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0129113791041903,0.0054662903781154
KRW-1INCH,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0216111701060888,0.0081748800760008
KRW-ZRO,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0060644298109647,0.0023444695372919
KRW-ZRO,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0083269434702025,0.0044101359771474
KRW-BLUR,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0062032446008596,0.0019821279447789
KRW-BLUR,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0084403842403014,0.0034772903295735
KRW-TFUEL,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0105695572831576,0.0035921195967286
KRW-TFUEL,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0174003631566536,0.0060779501487202
KRW-ASTR,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0102612881633208,0.0034488210768807
KRW-ASTR,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0174402962661414,0.0063412050277748
KRW-ZIL,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0139162181851126,0.0051959914763488
KRW-ZIL,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.024184996373362,0.00864952049613
KRW-ZRX,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0113319037497553,0.0048479106691252
KRW-ZRX,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0183703833034621,0.0081261878601896
KRW-JST,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0135160840096406,0.004466653890876
KRW-JST,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.023805475190379,0.0077136047851222
KRW-GLM,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0101311458458306,0.0039431422836647
KRW-GLM,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0164093017297966,0.0072894090915571
KRW-ID,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0105792288768111,0.0051283956773023
KRW-ID,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0160240208616114,0.0088947879743059
KRW-BAT,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0161957703699566,0.0054448575288088
KRW-BAT,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.025704385767585,0.0078711631969652
KRW-CELO,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0132052458800606,0.0064120151756411
KRW-CELO,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0204439075821822,0.0108634342388154
KRW-ANKR,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0128750586033372,0.0041466970105556
