Symbol,전체 기간,Digit Type,Mean,Std Dev
BTCUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,First,0.0091692253594366,0.0040709601230851
BTCUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,Second,0.003715143928487,0.0009343248379209
ETHUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,First,0.0117642972575059,0.0051136306602096
ETHUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,Second,0.0036374089548967,0.0009976349166602
XRPUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,First,0.0087658463468857,0.006236004476767
XRPUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,Second,0.0038091400082347,0.0009359524751675
DOGEUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,First,0.0075991447825192,0.0047392211940972
DOGEUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,Second,0.0038013147588494,0.001033088134836
SOLUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,First,0.0124936492761354,0.0060573025870478
SOLUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,Second,0.004018312311248,0.0010606662751841
ADAUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,First,0.0062680165193544,0.0033984146498664
ADAUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,Second,0.0037243423130689,0.0010058809082363
TRXUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,First,0.0105593774332246,0.0045601389239066
TRXUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,Second,0.0036574245810526,0.0010047617844144
LINKUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,First,0.0087214816910128,0.0036164183047622
LINKUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,Second,0.003856643285715,0.0008922665321623
SUIUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,First,0.0081475613014904,0.0043002671816047
SUIUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,Second,0.0035661104233051,0.0009047373527467
XLMUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,First,0.0064260601469385,0.0028442332989493
XLMUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,Second,0.0042831771999147,0.0013086313958071
SHIBUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,First,0.0065219245033629,0.0031589046966997
SHIBUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,Second,0.0035974902189857,0.0009402880956747
HBARUSDT,2024-07-01-00:00 ~ 2024-12-02-00:00,First,0.0129547798156892,0.0079851723160644
HBARUSDT,2024-07-01-00:00 ~ 2024-12-02-00:00,Second,0.0065557803623215,0.0032511371651288
DOTUSDT,2024-07-01-00:00 ~ 2024-11-28-00:00,First,0.0046498241172387,0.001894444999495
DOTUSDT,2024-07-01-00:00 ~ 2024-11-28-00:00,Second,0.0037766883146077,0.0008765783898929
BCHUSDT,2024-07-01-00:00 ~ 2024-11-29-00:00,First,0.0048452659456212,0.0017232732826071
BCHUSDT,2024-07-01-00:00 ~ 2024-11-29-00:00,Second,0.0038732504773039,0.0009133439703136
NEARUSDT,2024-07-01-00:00 ~ 2024-11-29-00:00,First,0.0055234231548367,0.0019973095442151
NEARUSDT,2024-07-01-00:00 ~ 2024-11-29-00:00,Second,0.0035173176385185,0.0009356927614922
APTUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,First,0.0059128859272996,0.0024958549827604
APTUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,Second,0.0043862317347672,0.0015708165125278
AAVEUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,First,0.0047054181272803,0.0022244475917063
AAVEUSDT,2024-07-01-00:00 ~ 2025-01-01-00:00,Second,0.0036311238844698,0.000890734127358
VETUSDT,2024-07-01-00:00 ~ 2024-11-29-00:00,First,0.0048670628755789,0.0017306449982285
VETUSDT,2024-07-01-00:00 ~ 2024-11-29-00:00,Second,0.0042358243082792,0.0013927322245876
ETCUSDT,2024-07-01-00:00 ~ 2024-12-02-00:00,First,0.005432908636264,0.0016540259973597
