Symbol,Name,Ticker,Price (USD),Volume (24h),Market Cap
BNB,BNB,BNB,690.2422078656302,2053988572.4994538,99399081549.11119
BTC,Bitcoin,BTC,95045.3168707341,71457374131.5679,1882801345094.6096
ETH,Ethereum,ETH,3181.022788243958,38307736547.17983,383297130864.4142
LUNA,Terra,LUNA,0.39478574363497854,33994724.95706902,280291734.6870556
