Symbol,Digit Type,Mean,Std Dev
BTC,First,0.0059427261575976,0.0040421741752006
BTC,Second,0.0018145635455273,0.0013262814556915
ETH,First,0.0081701286878097,0.0051044603011651
ETH,Second,0.0017265705667539,0.0012862647907817
XRP,First,0.0057153151539586,0.0054950264642047
XRP,Second,0.0018554613114036,0.001371032638696
DOGE,First,0.0042036136340448,0.0047520782968399
DOGE,Second,0.0020547011052092,0.0014565777489049
ADA,First,0.0044225801718337,0.0044824468120453
ADA,Second,0.0059174218973562,0.0045630009498121
TRX,First,0.0059362644295956,0.0040961790780303
TRX,Second,0.0037723979703968,0.0030043131762111
SOL,First,0.0089701406744361,0.0065991848082837
SOL,Second,0.0018083596797302,0.0014201548684793
LINK,First,0.0045054497108306,0.0040378417541481
LINK,Second,0.0092199335809516,0.0067891073711191
LINK,First,0.0045054497108306,0.0040378417541481
LINK,Second,0.0092199335809516,0.0067891073711191
SUI,First,0.0067269216891507,0.005700770999565
SUI,Second,0.0047135877281295,0.0066765324333032
XLM,First,0.0053282094401123,0.0041960115775528
XLM,Second,0.0098665501034104,0.0074144120050802
SHIB,First,0.0031382927143058,0.002893429125123
SHIB,Second,0.0020006051261603,0.0017380273633673
HBAR,First,0.0087543634593145,0.007874988443057
HBAR,Second,0.0094865546289369,0.0075003654817152
DOT,First,0.0076732838349081,0.005723733007203
DOT,Second,0.0129056647235259,0.008845878545707
BCH,First,0.0035061040707831,0.0030984003351772
BCH,Second,0.0052365923902466,0.0045006805494754
NEAR,First,0.0035099437368591,0.0027989416089884
NEAR,Second,0.0026435645689051,0.0023579138076738
APT,First,0.0052330712135683,0.0057421463440838
APT,Second,0.0084031447903268,0.0077031047465418
AAVE,First,0.0048474980967933,0.0051999430539073
AAVE,Second,0.0087239826474214,0.0073599816697007
VET,First,0.0071578510185941,0.0047143163422073
VET,Second,0.0127383863908516,0.0080626169475398
ETC,First,0.002520287513191,0.0020802723286036
ETC,Second,0.0037505981740953,0.0037574972723838
ALGO,First,0.006531512598962,0.0041984093012842
ALGO,Second,0.0159707253964127,0.0097475451429182
ARB,First,0.0045632262876968,0.0034789885838513
ARB,Second,0.008481197856028,0.0065074537280396
ATOM,First,0.0070473102015329,0.004442427911784
ATOM,Second,0.0134183465499997,0.0076028226172012
STX,First,0.0029185926087516,0.0033042236007971
STX,Second,0.0018343652393762,0.0014009889339016
THETA,First,0.0116557028907704,0.0128834051963416
THETA,Second,0.0162901717433945,0.0085876580492126
IMX,First,0.0054360618483097,0.0036904803841607
IMX,Second,0.0128643390498522,0.0076008482732818
GRT,First,0.0053117109747663,0.0042725416049936
GRT,Second,0.011690672844987,0.0076241342811967
SEI,First,0.0026188299844698,0.0023309005591734
SEI,Second,0.0022168834719371,0.0017004415651613
SAND,First,0.0047879277314479,0.0035234316085623
SAND,Second,0.0095193996147832,0.0066051350176536
EOS,First,0.005309074749391,0.0038464031113836
EOS,Second,0.0109506974034164,0.0071214579868024
XTZ,First,0.0097614404224908,0.0102271158025369
XTZ,Second,0.0137081988651021,0.0088504619747313
IOTA,First,0.006278641794427,0.0048062436489867
IOTA,Second,0.015164963687818,0.0093660206947856
FLOW,First,0.0056237344535542,0.0058330812816917
FLOW,Second,0.0055953300114768,0.0045106072535333
ENS,First,0.0038468695053309,0.003166003607397
ENS,Second,0.0055678117554663,0.0046637770031906
NEO,First,0.0049491637936391,0.0047085888010154
NEO,Second,0.0092645371525269,0.0070786976922243
MANA,First,0.0083424256171491,0.0048436800151918
MANA,Second,0.0170218229095947,0.0093340056752133
AXS,First,0.0048248661521133,0.0036205609452382
AXS,Second,0.0096050234801168,0.0056254816634386
CHZ,First,0.0042096155395595,0.0035444805374141
CHZ,Second,0.0084619304070013,0.005902458266569
XEC,First,0.0038803343331337,0.0036854603878802
XEC,Second,0.0063383859531594,0.0049936378320691
MINA,First,0.0057865789778812,0.0042247118467949
MINA,Second,0.0128422492440202,0.0075215846667447
KAVA,First,0.007497195438948,0.0053031356747969
KAVA,Second,0.0132426537050124,0.0071112193863805
1INCH,First,0.0075405742210973,0.0053991904355451
1INCH,Second,0.015215222010118,0.00874123615063
ZRO,First,0.0033358297105916,0.0026510213340389
ZRO,Second,0.0046286145193655,0.0039419199900759
BLUR,First,0.0030329903871005,0.0023053544009738
BLUR,Second,0.003898389846308,0.0028825866638614
TFUEL,First,0.0045656741146866,0.0034949938024461
TFUEL,Second,0.0114030223828644,0.0067071857716331
ASTR,First,0.004770282777254,0.0038824734082965
ASTR,Second,0.0088763236136444,0.0058166662579639
ZIL,First,0.0070655500032611,0.0048419063948617
ZIL,Second,0.0170497141454911,0.0079322943330361
ZRX,First,0.0044550514472006,0.0033306786171163
ZRX,Second,0.010942970206842,0.0073119138541902
JST,First,0.006750506916326,0.0071283551910713
JST,Second,0.0123449242133877,0.0071543927053937
GLM,First,0.0047132941759421,0.0050802302187479
GLM,Second,0.0085692594841908,0.0067788070983217
ID,First,0.0052329484652541,0.0040530361285438
ID,Second,0.0103074322877015,0.0078582074074634
BAT,First,0.0075194800475489,0.0053673882590951
BAT,Second,0.0181706457297195,0.0080485947079779
CELO,First,0.0078710249887458,0.0057470609507751
CELO,Second,0.0145796992332298,0.0097325327790033
ANKR,First,0.0063933470784528,0.0049727317440987
ANKR,Second,0.0144373369061679,0.0074992948777772
QTUM,First,0.0048013824745794,0.0036560114065092
QTUM,Second,0.0109411642627082,0.0069779890201584
SC,First,0.0040205312237153,0.0028796221274268
SC,Second,0.0098562085378945,0.0063389121649952
GAS,First,0.0043806489541036,0.0043406740196155
GAS,Second,0.0060319354392774,0.0053526716554413
GMT,First,0.0077726057827586,0.0088229190831285
GMT,Second,0.012735897771537,0.0076585349869173
ELF,First,0.0100702604355391,0.0098609206372984
ELF,Second,0.0144963687266285,0.0091960148968934
ME,First,0.0026583139674605,0.001562943146341
ME,Second,0.0018460787344266,0.0008669103475032
T,First,0.0045463565773146,0.0050042004784172
T,Second,0.0076425870650293,0.0057446478667389
MASK,First,0.006597858369254,0.0060175371629788
MASK,Second,0.0100015122727325,0.0074440859084713
POLYX,First,0.0029288734423801,0.002508832135151
POLYX,Second,0.0060240242342937,0.0045242544394489
HIVE,First,0.0084818523324812,0.0065931225689488
HIVE,Second,0.0154317405286086,0.0094516306040273
ONT,First,0.0069830184655605,0.0055065410173858
ONT,Second,0.0173719581914848,0.0108694572560357
SXP,First,0.004550728103821,0.003886925014846
SXP,Second,0.0101410083501834,0.0080806027443587
STORJ,First,0.0048693685940429,0.0037673938165375
STORJ,Second,0.0080529595146597,0.0056228776083946
SNT,First,0.005757521096847,0.00504325109993
SNT,Second,0.0078164816358151,0.0063932172082311
LSK,First,0.0052480178491436,0.0044063825999615
LSK,Second,0.014006002054636,0.0077323149177065
CVC,First,0.0053188540752261,0.004773747683956
CVC,Second,0.0098700017623839,0.0083973676985871
POWR,First,0.0039941379619455,0.0034124164613068
POWR,Second,0.0111498945022505,0.0079705844807142
IQ,First,0.0042051232004432,0.0033384595343017
IQ,Second,0.0099365010640652,0.0081912891006154
IOST,First,0.0058730334229528,0.0047165324413716
IOST,Second,0.0156155862632282,0.0078693489751434
STPT,First,0.0386987457648667,0.0355822325247096
STPT,Second,0.0126190572781046,0.0074916892742211
STRAX,First,0.0043787283523105,0.0031521730026289
STRAX,Second,0.0110879355949332,0.0063182302959971
ONG,First,0.0040313077032438,0.0040334496926931
ONG,Second,0.010943504595882,0.0080953069775551
PUNDIX,First,0.0056384088285859,0.0042641459441848
PUNDIX,Second,0.0133177948302592,0.0077678627277743
STEEM,First,0.0055086671811994,0.0040288643771088
STEEM,Second,0.01461338043552,0.0078472758724932
KNC,First,0.0060461907470759,0.0044335082075578
KNC,Second,0.0147943693290284,0.0066458254067574
ARK,First,0.0040238425012543684,0.0054898182718473715
ARK,Second,0.005892208916625481,0.005953595189568123
