Symbol,전체 기간,Digit Type,Mean,Std Dev
KRW-BTC,2022-01-02-00:00 ~ 2022-12-31-00:00,First,0.0114382546667599,0.0047895239464085
KRW-BTC,2022-01-02-00:00 ~ 2022-12-31-00:00,Second,0.0060908167464681,0.0015533256807167
KRW-ETH,2022-01-02-00:00 ~ 2022-12-31-00:00,First,0.0073153308442341,0.0025404027868701
KRW-ETH,2022-01-02-00:00 ~ 2022-12-31-00:00,Second,0.0063150276857753,0.0016184703110297
KRW-SOL,2022-01-02-00:00 ~ 2022-12-31-00:00,First,0.0074833659020275,0.002541789788179
KRW-SOL,2022-01-02-00:00 ~ 2022-12-31-00:00,Second,0.0066387263834145,0.002006525429402
KRW-DOGE,2022-01-02-00:00 ~ 2022-12-31-00:00,First,0.006765452115546,0.0020188537409929
KRW-DOGE,2022-01-02-00:00 ~ 2022-12-31-00:00,Second,0.0067141360963317,0.0022048919162283
KRW-ADA,2022-01-02-00:00 ~ 2022-12-31-00:00,First,0.0071815661509746,0.0025162425753901
KRW-ADA,2022-01-02-00:00 ~ 2022-12-31-00:00,Second,0.0082191323936713,0.0040856086248704
KRW-ATOM,2022-01-02-00:00 ~ 2022-12-31-00:00,First,0.007942874454182,0.0031293711089695
KRW-ATOM,2022-01-02-00:00 ~ 2022-12-31-00:00,Second,0.0086936665646731,0.0040687047577185
KRW-LINK,2022-01-02-00:00 ~ 2022-12-31-00:00,First,0.0090891159891771,0.0029943071465233
KRW-LINK,2022-01-02-00:00 ~ 2022-12-31-00:00,Second,0.0111378358938984,0.0050217080813725
KRW-XRP,2022-01-02-00:00 ~ 2022-12-31-00:00,First,0.0073327672430359,0.0026990035668331
KRW-XRP,2022-01-02-00:00 ~ 2022-12-31-00:00,Second,0.005913357353507,0.0014927589630603
KRW-DOT,2022-01-02-00:00 ~ 2022-12-31-00:00,First,0.0094612614405075,0.0035157633911482
KRW-DOT,2022-01-02-00:00 ~ 2022-12-31-00:00,Second,0.0123336504543361,0.0055477933874358
KRW-ALGO,2022-01-02-00:00 ~ 2022-12-31-00:00,First,0.0086932778404549,0.0030210114451275
KRW-ALGO,2022-01-02-00:00 ~ 2022-12-31-00:00,Second,0.0117377927025946,0.0057487374607431
KRW-HBAR,2022-01-02-00:00 ~ 2022-12-31-00:00,First,0.0126116221976348,0.0048325624426042
KRW-HBAR,2022-01-02-00:00 ~ 2022-12-31-00:00,Second,0.0179581405324336,0.0066404330443837
KRW-AAVE,2022-01-02-00:00 ~ 2022-12-31-00:00,First,0.0096602644696998,0.0036255788396262
KRW-AAVE,2022-01-02-00:00 ~ 2022-12-31-00:00,Second,0.0138376829504786,0.0059823635549378
KRW-AVAX,2022-02-10-00:00 ~ 2022-12-31-00:00,First,0.009034276271918,0.0037972131897545
KRW-AVAX,2022-02-10-00:00 ~ 2022-12-31-00:00,Second,0.0122700440725052,0.0065120505296852
KRW-XLM,2022-01-02-00:00 ~ 2022-12-31-00:00,First,0.0124925371999705,0.0049773117488772
KRW-XLM,2022-01-02-00:00 ~ 2022-12-31-00:00,Second,0.0175915880132469,0.0068149857702978
KRW-BCH,2022-01-02-00:00 ~ 2022-12-31-00:00,First,0.0098915813132218,0.0033613855641619
KRW-BCH,2022-01-02-00:00 ~ 2022-12-31-00:00,Second,0.0128968386354229,0.0049057228022165
KRW-ETC,2022-01-02-00:00 ~ 2022-12-31-00:00,First,0.0075092217421712,0.0024602989044013
KRW-ETC,2022-01-02-00:00 ~ 2022-12-31-00:00,Second,0.0067282670604414,0.0021014571409563
KRW-EOS,2022-01-02-00:00 ~ 2022-12-31-00:00,First,0.0093805215101442,0.0047079886227325
KRW-EOS,2022-01-02-00:00 ~ 2022-12-31-00:00,Second,0.0124682518377858,0.0061735407885787
KRW-XTZ,2022-01-02-00:00 ~ 2022-12-31-00:00,First,0.0124535785645796,0.006527891924855
